x,Curve1
-2.23471,-9.37431
-2.10782,-8.50537
-2.07227,-8.31801
-2.02192,-8.29277
-1.89687,-8.30214
-1.77063,-8.2092
-1.65338,-7.45105
-1.52452,-6.41158
-1.4984,-6.31796
-1.4555,-6.21592
-1.40337,-6.0372
-1.36841,-5.901
-1.14722,-4.09469
-1.1215,-4.03517
-1.08754,-3.98424
-1.05357,-3.9333
-1.00272,-3.86543
-0.9187,-3.81483
-0.90142,-3.76378
-0.84998,-3.64475
-0.63037,-1.97487
-0.60435,-1.88977
-0.53632,-1.77938
-0.45289,-1.77994
-0.38614,-1.78039
-0.34314,-1.66983
-0.10009,-0.13654
-0.0989,-0.03422
-0.03196,-0.01762
0.02693,0.02462
0.09408,0.05827
0.1625,0.20278
0.34597,1.63413
0.37218,1.73629
0.41528,1.85538
0.55771,1.90558
0.75308,3.64384
0.76848,3.53288
0.80491,3.79698
1.11337,4.49414
1.13085,4.56224
1.1663,4.74108
1.27906,5.83182
1.33021,5.92527
1.38649,6.46212
1.42999,6.61532
1.51393,8.09851
