x,Curve1
-110.731,-99.1124
-105.005,-87.0075
-102.132,-80.2762
-101.042,-78.6532
-100.396,-78.1376
-99.536,-77.6199
-97.833,-77.5177
-96.755,-76.6584
-95.459,-75.4575
-94.097,-70.099
-92.319,-65.3301
-91.011,-63.3655
-90.558,-61.6642
-90.535,-60.2218
-89.438,-58.0897
-89.21,-57.1542
-88.344,-56.2122
-88.328,-55.194
-86.835,-55.0091
-84.705,-54.8178
-82.364,-54.7939
-81.08,-54.3567
-78.235,-49.4073
-76.922,-47.1033
-75.614,-45.1388
-74.745,-44.0271
-74.082,-42.4933
-73.184,-39.5149
-71.672,-38.1422
-71.656,-37.124
-71.018,-37.1175
-68.89,-37.0958
-66.549,-37.072
-65.485,-37.0611
-63.779,-36.7893
-63.127,-35.9343
-62.045,-34.8204
-60.943,-32.4338
-59.199,-29.7861
-58.545,-28.8463
-57.25,-27.6454
-52.449,-20.131
-51.793,-19.0214
-50.721,-18.5015
-49.444,-18.4885
-46.893,-18.6322
-44.123,-18.3495
-41.993,-18.243
-40.702,-17.2966
-33.344,-9.5865
-28.975,-2.4159
-27.676,-1.0453
-26.601,-0.3556
-25.105,0.0838
20.64,0.1253
23.621,0.2405
24.477,0.5885
25.128,1.3587
29.895,6.7518
31.406,8.1246
32.691,8.6467
33.977,9.2536
35.478,9.9476
39.616,15.9282
40.704,17.4663
42.838,17.8274
45.395,18.1079
47.956,18.5582
52.53,25.2219
53.187,26.4163
54.908,27.5367
56.628,28.6571
60.333,34.2091
60.784,35.8256
62.078,36.8568
63.571,37.1265
65.061,37.1417
66.125,37.1525
66.996,38.4339
71.157,45.857
71.808,46.6271
73.097,47.4037
77.471,54.829
78.765,55.945
79.206,56.8827
79.211,57.2221
80.066,57.4853
80.07,57.7398
81.353,58.0922
82.217,58.9494
83.723,59.9828
83.956,61.2577
83.971,62.191
